id,name,unit_of_measurement
1,"Mashed Cranberry Bean & Coconut milk",serving
2,"Stewed Chicken with Golden tomatoes",serving
3,"Nashville Hot Fried Chicken with creamy cole slaw Pickles",serving
4,"American Cheese Sliced",serving
5,"Beef Taquitos",serving
6,"Garlic Roasted Cauliflower",serving
7,"Hazruquive Hominy Bean Sprouts Corn Stew",serving
8,"Brazilian Prawn Coconut Stew",serving
9,"Yogurt Apple Orange Smoothie",serving
10,"Indonesian Tofu",serving
11,"Maple Roasted Sweet Potatoes",serving
12,"Dominican Habichuelas Guisadas Stewed Beans",serving
13,"Beef Taco Meat",serving
14,"Moroccan Lentils with Cucumber and Tomatoes",serving
15,"TOMATO MOZZ PANINI ON SOURDOUGH WITH FRESH BASIL",serving
16,"Trinidaddian Coo Coo",serving
17,"Wild Rice and Corn Fritters",serving
18,"Cranberry Chicken Sausage Breakfast",serving
19,"Italian Herb Crushed Red Pepper Broccoli",serving
20,"Crispy plantain Kale Mango Salad w/ Coconut Lime Dressing",serving
21,"Pullman Wheat Bread Sliced",serving
22,"Djon Djon Haitian Black Mushroom Rice",serving
23,"Brick Oven Roasted Parmesan Sage Tomato",serving
24,"Mango Pineapple Spinach Smoothie",serving
25,"Fresh Vegan Basil Cheddar Mashed Potatoes",serving
26,"Pasta al Forna Bolognese",serving
27,"Spicy Hunan Steamed Tofu",serving
28,"Roasted Potato Bacon Salad with Dijon Vinaigrette",serving
29,"Ham & Havarti Panini",serving
30,"Grilled Pastrami Burger Swiss",serving
31,"Roasted Yellow Squash and Peas",serving
32,"Grilled Corn with Wild Greens Pesto",serving
33,"Zha Jiang Mian Bejing Fried Sauce Noodles",serving
34,"Herbed Rice Pilaf",serving
35,"Banana Chocolate Chip French Toast Casserole",serving
36,"Mini Cinnamon Bun",serving
37,"Vegan Banana Pancake (purple)",serving
38,"Citrus Cilantro Orange Rice",serving
39,"Cremini Mushroom Italian Sausage Quesadilla",serving
40,"Root Vegetables Mustard Seed Vinaigrette",serving
41,"Summer Peach Crisp",serving
42,"Brick Oven Roasted Tunisian Spiced Chicken Legs",serving
43,"Penne al Vodka Pizza",serving
44,"French Toast",serving
45,"Roasted Lemon Pepper Green Beans",serving
46,"Maizitos con Tocineta Corn al Gratin & Bacon",serving
47,"Vegan Breakfast Sausage",serving
48,"Cuban Black Bean and Rice",serving
49,"Roasted Turkey Breast",serving
50,"Rosemary Onion Roasted Button Mushrooms",serving
51,"Tuna Salad",serving
52,"Chicken Sausage Egg Cheese Breakfast Bagel Sandwich",serving
53,"Red Pork Tamale Cassarole",serving
54,"Black Bean Burger",serving
55,"Crispy Salt and Vinegar Potatoes",serving
56,"Ripe Plantain Casserole",serving
57,"Sweet and Sour Tempura Chicken",serving
58,"Pepperoni Pizza Quesadilla",serving
59,"Roasted Chick Peas, Sweet Potatoes and Peppers",serving
60,"Black Bean & Roasted Corn Salad",serving
61,"Mesa Squash Fry with Sunflower Seeds",serving
62,"Vegan General Tsos Chicken",serving
63,"Roasted Beets and Sweet Potatoes",serving
64,"Sticky Orange Cauliflower",serving
65,"Peruvian Roasted Chicken Pollo la Barsa",serving
66,"Spicy Sesame Ginger Bok Choy with Bean Sprouts and Carrots",serving
67,"Buffalo Chicken Pizza",serving
68,"Tempura Mushrooms",serving
69,"Chesapeake Wild Catfish & Asparagus Lemon Butter Sauce",serving
70,"Philly Cheese Steak Pizza",serving
71,"Cantonese Chicken & Pickled Mustard Green",serving
72,"Tomatoes and Okra",serving
73,"Capicola Ham Mortadella Provolone Sandwich",serving
74,"Italian Sausage Mushroom Penne Gratin",serving
75,"Chopped Tomato Cucumber Onion Salad with Cumin and Lime",serving
76,"Roasted Indian Street Corn and Tomatoes",serving
77,"Scrambled Eggs Tomato Pepper Jack Cheese",serving
78,"Southwestern Vegetable Hash",serving
79,"Mango Pineapple Barley Pudding",serving
80,"Filipino Mushroom Adobo",serving
81,"Mushroom Spinach Marinara (purple)",serving
82,"Grilled Chipotle Lime Chicken",serving
83,"Balsamic Garlic Roasted Brussel Sprouts",serving
84,"Spicy Pan Fried Noodles",serving
85,"Grilled Lemon Pepper Pork Chop w/ Black Pepper Gravy (purple)",serving
86,"Fried Pork Chop With Gravy",serving
87,"Grilled Chicken w/ Spicy Creole Sauce (purple)",serving
88,"Al Pastor Pork",serving
89,"Puerto Rican Kidney Beans",serving
